price,Address,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,Status,neworold,parking,Furnished_status,Lift,Landmarks,type_of_building,Price_sqft
7500000,"Sector 77, Gurgaon, Delhi NCR",1260,28.3824895,76.9823169,2,2,,,New Property,1,,2,Near Toll Plaza,Individual House,5952.380952
18000000,"Eastend Aptts, Mayur Vihar 1, New Delhi - East, Delhi NCR",1700,28.5884566,77.304787,4,3,1,Ready to Move,Resale,1,,2,nearby New Ashok Nagar Metro station,Individual House,10588.23529
17200000,"Sector 10 Dwarka, New Delhi - Dwarka, Delhi NCR",2025,28.58584227,77.06062479,3,2,4,Ready to Move,Resale,2,,2,near inderprastha international school,Flat,8493.82716
17000000,"Moti Nagar, New Delhi - West, Delhi NCR",1600,28.66662979,77.15222168,3,2,2,Ready to Move,Resale,2,Semi-Furnished,3,Near by CTC mall,Flat,10625
5500000,"sector 12 gurgaon, Sector 12, Gurgaon, Delhi NCR",1150,28.4974556,77.02713776,3,2,1,Ready to Move,Resale,1,Semi-Furnished,1,near BSNL office,Flat,4782.608696
13000000,"Kumar Excellency plaza, Sector 11 Vasundhara, Ghaziabad, Delhi NCR",2300,28.65584564,77.3682251,4,4,3,Ready to Move,Resale,,Unfurnished,,Sunrise Mall,Flat,5652.173913
9900000,"Sector 90, Gurugram, Haryana 122505, Sector 90, Gurgaon, Delhi NCR",1760,28.407361,76.93426176,3,2,4,Ready to Move,Resale,1,,3,Near HP petrol pump,Flat,5625
7000000,"Sanjiv Malhotra D-2, 208/209, Ground Floor Sector-11, Rohin, New Delhi- 110085, Sector 11 Rohini, New Delhi - Rohini, Delhi NCR",559,28.7295315,77.106949,2,2,,Ready to Move,Resale,,Unfurnished,,,Individual House,12522.36136
5150000,"Sector 143, Noida, Sector 143, Noida, Delhi NCR",1234,28.500621,77.424203,2,2,2,Ready to Move,Resale,,,,Near by Gulshan Ikebana sector 143 Noida,Flat,4173.419773
7500000,"Paschim Vihar, New Delhi, Paschim Vihar, New Delhi - West, Delhi NCR",700,28.66287399,77.09776702,2,2,,Ready to Move,Resale,1,,,Opposite shiv Mandir,Flat,10714.28571
2630000,"415  81High street mall sector 81 not pull greater Faridabad, Sector 81, Faridabad, Delhi NCR",750,28.3924408,77.34424591,3,2,2,,New Property,,Unfurnished,,,Flat,3506.666667
4600000,"Uttam Nagar West, New Delhi - West, Delhi NCR",1000,28.618239,77.054361,3,2,,Under Construction,New Property,1,,1,,Flat,4600
7500000,"G Tower, Amrapali Sapphire Phase I, Sector 45, Noida, Delhi NCR",1390,28.548787,77.346032,3,2,3,Ready to Move,Resale,1,,2,"Close to Delhi Border & Mahamaya Bridge, Botanical garden Metro",Flat,5395.683453
7000000,"Sector 69, Gurgaon, Sector 69, Gurgaon, Delhi NCR",1326,28.397731,77.036526,3,3,3,Ready to Move,Resale,1,,2,"Close to Golf link extn road, Tata Primanti 46 floor",Flat,5279.034691
5800000,"Sector 129, Noida, Delhi NCR",1270,28.524543,77.364765,3,3,,Ready to Move,Resale,,,,,Flat,4566.929134
5200000,"Sector 143, Noida, Delhi NCR",1175,28.500621,77.424203,2,2,,Ready to Move,Resale,,,,,Individual House,4425.531915
26000000,"Sector 128 Noida, Sector 128, Noida, Delhi NCR",3755,28.52798043,77.354191,4,6,2,Ready to Move,New Property,2,,5,Axis Bank,Flat,6924.101198
20000000,"DLF Capital Greens Phase 1, Moti Nagar, New Delhi - West, Delhi NCR",1650,28.666059,77.150134,3,3,4,Ready to Move,Resale,1,,,near kirti Nagar and punjabi bagh,Flat,12121.21212
3200000,"895., Mehrauli, New Delhi - South, Delhi NCR",800,28.5201861,77.179158,2,2,1,Ready to Move,New Property,,Unfurnished,,"Near y by chhatarpur metro station ,park,Bank Atm, Gym.",Flat,4000
8500000,"Near Dashmesh Hospital, Jail Road, Shiv Nagar, New Delhi - West, Delhi NCR",1100,28.6288025,77.0958556,2,2,,Ready to Move,Resale,1,Furnished,,,Flat,7727.272727
4320000,"Sector 67, Gurgaon, Delhi NCR",800,28.38762,77.06237,2,2,,Ready to Move,Resale,,,,,Flat,5400
6710000,"Vasundhara, Ghaziabad, Vasundhara, Ghaziabad, Delhi NCR",1180,28.65493,77.350989,2,2,2,Ready to Move,Resale,1,,2,Near by  silver spoon banquet hall ghaziabad.,Flat,5686.440678
16900000,"firstfloor, Sushant Lok 1 Block C, Gurgaon, Delhi NCR",1935,28.45451736,77.08187103,3,4,2,Ready to Move,Resale,2,Semi-Furnished,1,The property is close to HUDA metro and marriot hotel .walking distance to shopping marts,Flat,8733.850129
12500000,"Sec 30, Near N M C hospital, Noida, Ram Vihar, Noida, Delhi NCR",1800,28.576661,77.339673,3,3,2,Ready to Move,Resale,1,,,,Flat,6944.444444
5000000,"Unitech Unihomes, Tower A1, Sector-117, Noida, Sector 117, Noida, Delhi NCR",1200,28.57763481,77.39510345,3,2,3,Ready to Move,Resale,,Unfurnished,,,Flat,4166.666667
